"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"2158","Herrenalb, Bad","8,4430","48,8042","350.0","https://cdc.dwd.de/rest/metadata/station/html/3261693378"
"13886","Pößneck","11,6000","50,7000","250.0","https://cdc.dwd.de/rest/metadata/station/html/3265310553"
"1929","Hahnenklee","10,3368","51,8597","567.0","https://cdc.dwd.de/rest/metadata/station/html/3307746172"
"13802","Kleinenberg","8,9667","51,5833","335.0","https://cdc.dwd.de/rest/metadata/station/html/3308699183"
"4996","Tegernsee","11,7639","47,7099","837.0","https://cdc.dwd.de/rest/metadata/station/html/3325531376"
"13899","Weiterswiese","12,5833","50,4167","913.0","https://cdc.dwd.de/rest/metadata/station/html/3458664930"
"13857","Fleckl","11,8090","50,0119","750.0","https://cdc.dwd.de/rest/metadata/station/html/346528668"
"13876","Altenberg-Raupennest","13,7333","50,7667","755.0","https://cdc.dwd.de/rest/metadata/station/html/3472813552"
"19207","Gülzow-Prüzen","12,0645","53,8178","16.0","https://cdc.dwd.de/rest/metadata/station/html/348645398"
"4386","Sankt Blasien","8,1247","47,7610","795.0","https://cdc.dwd.de/rest/metadata/station/html/3525038548"
"13796","Wesermünde","8,5500","53,5833","2.0","https://cdc.dwd.de/rest/metadata/station/html/3568916626"
"7415","Tübingen (Tropengenesungsheim)","9,0667","48,5333","390.0","https://cdc.dwd.de/rest/metadata/station/html/3632558481"
"13891","Scharfenstein","13,0667","50,7000","615.0","https://cdc.dwd.de/rest/metadata/station/html/3708407786"
"19617","Burghaslach","10,6039","49,7391","310.0","https://cdc.dwd.de/rest/metadata/station/html/3726311893"
"19805","Altenwalde","8,6879","53,8593","2.0","https://cdc.dwd.de/rest/metadata/station/html/37614295"
"13835","Fohrenbühl","8,3000","48,2333","878.0","https://cdc.dwd.de/rest/metadata/station/html/3843521742"
"13818","Ober-Hambach","8,6833","49,6667","336.0","https://cdc.dwd.de/rest/metadata/station/html/386478055"
"5665","Wolfegg","9,7970","47,8180","677.0","https://cdc.dwd.de/rest/metadata/station/html/386937182"
