"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"17467","Berlin-Köpenick/Spree","13,5830","52,4440","36.0","https://cdc.dwd.de/rest/metadata/station/html/1552546939"
"6283","Colmberg-Binzwangen","10,3733","49,3826","434.0","https://cdc.dwd.de/rest/metadata/station/html/155877946"
"19611","Dasing/Paar","11,0454","48,3832","470.0","https://cdc.dwd.de/rest/metadata/station/html/1577342393"
"17475","Berlin-Gesundbrunnen","13,3840","52,5530","41.0","https://cdc.dwd.de/rest/metadata/station/html/1587822332"
"19659","Gottleuba, Bad/Sachsen","13,9343","50,8371","430.0","https://cdc.dwd.de/rest/metadata/station/html/1604932216"
"4549","Schönwald/Schwarzwald","8,1969","48,1002","1021.0","https://cdc.dwd.de/rest/metadata/station/html/1606494202"
"3274","Mettlach-Orscholz (Kurort)","6,5215","49,5070","415.0","https://cdc.dwd.de/rest/metadata/station/html/1614848192"
"15013","Malsch/Baden","8,3379","48,8946","119.0","https://cdc.dwd.de/rest/metadata/station/html/1640772942"
"3796","Olpe","7,8500","51,0333","305.0","https://cdc.dwd.de/rest/metadata/station/html/1663166636"
"15198","Ellern","7,6329","49,9680","510.0","https://cdc.dwd.de/rest/metadata/station/html/16844730"
"7494","Königsbach-Stein, Enzkreis","8,5905","48,9597","160.0","https://cdc.dwd.de/rest/metadata/station/html/1689600796"
"1623","Gersfeld","9,9174","50,4477","530.0","https://cdc.dwd.de/rest/metadata/station/html/1697080752"
"17462","Berlin-Britz","13,4580","52,4520","34.0","https://cdc.dwd.de/rest/metadata/station/html/1716872665"
"15986","Härtlingen","7,9192","50,5355","345.0","https://cdc.dwd.de/rest/metadata/station/html/1726925561"
"19855","Frankenhausen, Bad/Thür.","11,1042","51,3671","130.0","https://cdc.dwd.de/rest/metadata/station/html/1727569766"
"19674","Sonthofen/Iller","10,2935","47,5130","754.0","https://cdc.dwd.de/rest/metadata/station/html/1732125581"
"3327","Moers","6,6379","51,4523","25.0","https://cdc.dwd.de/rest/metadata/station/html/1744973847"
